titulo,año,plataforma,genero,desarrolladora,descripción
Sonic the Hedgehog,1991,Sega Genesis,Plataformas,Sega,Un veloz erizo azul debe salvar animales de las garras del malvado Dr. Robotnik.
Super Mario Bros,1985,NES,Plataformas,Nintendo,El fontanero Mario debe rescatar a la princesa Peach del malvado Bowser.
The Legend of Zelda,1986,NES,Aventura,Nintendo,Link debe rescatar a la princesa Zelda y salvar el reino de Hyrule.
Metroid,1986,NES,Aventura,Nintendo,La cazarrecompensas Samus Aran lucha contra piratas espaciales en un planeta hostil.
Street Fighter II,1991,Super Nintendo,Lucha,Capcom,Un juego de lucha donde se enfrentan personajes de diferentes estilos de pelea.
Golden Axe,1989,Sega Genesis,Hack and Slash,Sega,Tres guerreros deben derrotar a Death Adder para vengar la muerte del rey.
Altered Beast,1988,Sega Genesis,Acción,Sega,Un héroe revivido de la muerte debe derrotar criaturas mitológicas.
Castlevania,1986,NES,Aventura,Konami,Un cazador de vampiros debe detener a Drácula y sus hordas demoníacas.
F-Zero,1990,Super Nintendo,Carreras,Nintendo,Carreras futuristas a alta velocidad con vehículos antigravitatorios.
Shinobi,1987,Sega Master System,Acción,Sega,Un ninja debe salvar al hijo secuestrado de un líder mundial.
